x5lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-4.990000e-01   0.000000e+00   0.000000e+00
-4.970000e-01   0.000000e+00   0.000000e+00
-4.950000e-01   0.000000e+00   0.000000e+00
-4.930000e-01   0.000000e+00   0.000000e+00
-4.910000e-01   0.000000e+00   0.000000e+00
-4.890000e-01   0.000000e+00   0.000000e+00
-4.870000e-01   0.000000e+00   0.000000e+00
-4.850000e-01   0.000000e+00   0.000000e+00
-4.830000e-01   0.000000e+00   0.000000e+00
-4.810000e-01   0.000000e+00   0.000000e+00
-4.790000e-01   0.000000e+00   0.000000e+00
-4.770000e-01   0.000000e+00   0.000000e+00
-4.750000e-01   0.000000e+00   0.000000e+00
-4.730000e-01   0.000000e+00   0.000000e+00
-4.710000e-01   0.000000e+00   0.000000e+00
-4.690000e-01   0.000000e+00   0.000000e+00
-4.670000e-01   0.000000e+00   0.000000e+00
-4.650000e-01   0.000000e+00   0.000000e+00
-4.630000e-01   0.000000e+00   0.000000e+00
-4.610000e-01   0.000000e+00   0.000000e+00
-4.590000e-01   0.000000e+00   0.000000e+00
-4.570000e-01   0.000000e+00   0.000000e+00
-4.550000e-01   0.000000e+00   0.000000e+00
-4.530000e-01   0.000000e+00   0.000000e+00
-4.510000e-01   0.000000e+00   0.000000e+00
-4.490000e-01   0.000000e+00   0.000000e+00
-4.470000e-01   0.000000e+00   0.000000e+00
-4.450000e-01   0.000000e+00   0.000000e+00
-4.430000e-01   0.000000e+00   0.000000e+00
-4.410000e-01   0.000000e+00   0.000000e+00
-4.390000e-01   0.000000e+00   0.000000e+00
-4.370000e-01   0.000000e+00   0.000000e+00
-4.350000e-01   0.000000e+00   0.000000e+00
-4.330000e-01   0.000000e+00   0.000000e+00
-4.310000e-01   0.000000e+00   0.000000e+00
-4.290000e-01   0.000000e+00   0.000000e+00
-4.270000e-01   0.000000e+00   0.000000e+00
-4.250000e-01   0.000000e+00   0.000000e+00
-4.230000e-01   0.000000e+00   0.000000e+00
-4.210000e-01   0.000000e+00   0.000000e+00
-4.190000e-01   0.000000e+00   0.000000e+00
-4.170000e-01   0.000000e+00   0.000000e+00
-4.150000e-01   0.000000e+00   0.000000e+00
-4.130000e-01   0.000000e+00   0.000000e+00
-4.110000e-01   0.000000e+00   0.000000e+00
-4.090000e-01   0.000000e+00   0.000000e+00
-4.070000e-01   0.000000e+00   0.000000e+00
-4.050000e-01   0.000000e+00   0.000000e+00
-4.030000e-01   0.000000e+00   0.000000e+00
-4.010000e-01   0.000000e+00   0.000000e+00
-3.990000e-01   0.000000e+00   0.000000e+00
-3.970000e-01   0.000000e+00   0.000000e+00
-3.950000e-01   0.000000e+00   0.000000e+00
-3.930000e-01   0.000000e+00   0.000000e+00
-3.910000e-01   0.000000e+00   0.000000e+00
-3.890000e-01   0.000000e+00   0.000000e+00
-3.870000e-01   0.000000e+00   0.000000e+00
-3.850000e-01   0.000000e+00   0.000000e+00
-3.830000e-01   0.000000e+00   0.000000e+00
-3.810000e-01   0.000000e+00   0.000000e+00
-3.790000e-01   0.000000e+00   0.000000e+00
-3.770000e-01   0.000000e+00   0.000000e+00
-3.750000e-01   0.000000e+00   0.000000e+00
-3.730000e-01   0.000000e+00   0.000000e+00
-3.710000e-01   0.000000e+00   0.000000e+00
-3.690000e-01   0.000000e+00   0.000000e+00
-3.670000e-01   0.000000e+00   0.000000e+00
-3.650000e-01   0.000000e+00   0.000000e+00
-3.630000e-01   0.000000e+00   0.000000e+00
-3.610000e-01   0.000000e+00   0.000000e+00
-3.590000e-01   0.000000e+00   0.000000e+00
-3.570000e-01   0.000000e+00   0.000000e+00
-3.550000e-01   0.000000e+00   0.000000e+00
-3.530000e-01   0.000000e+00   0.000000e+00
-3.510000e-01   0.000000e+00   0.000000e+00
-3.490000e-01   0.000000e+00   0.000000e+00
-3.470000e-01   0.000000e+00   0.000000e+00
-3.450000e-01   0.000000e+00   0.000000e+00
-3.430000e-01   0.000000e+00   0.000000e+00
-3.410000e-01   0.000000e+00   0.000000e+00
-3.390000e-01   0.000000e+00   0.000000e+00
-3.370000e-01   0.000000e+00   0.000000e+00
-3.350000e-01   0.000000e+00   0.000000e+00
-3.330000e-01   0.000000e+00   0.000000e+00
-3.310000e-01   0.000000e+00   0.000000e+00
-3.290000e-01   0.000000e+00   0.000000e+00
-3.270000e-01   0.000000e+00   0.000000e+00
