Eph_lab bin center    K_Eph    Error 
-inf  -1.170545e-01   7.924857e-03
 1.495000e+00   1.000000e+00   1.065402e-02
 2.485000e+00   1.000000e+00   1.267544e-02
 3.475000e+00   1.000000e+00   1.045353e-02
 4.465000e+00   1.000000e+00   1.407861e-02
 5.455000e+00   1.000000e+00   1.072002e-02
 6.445000e+00   1.000000e+00   1.267005e-02
 7.435000e+00   1.000000e+00   1.504343e-02
 8.425000e+00   1.000000e+00   1.838861e-02
 9.415000e+00   1.000000e+00   1.712470e-02
 1.040500e+01   1.000000e+00   1.912128e-02
 1.139500e+01   1.000000e+00   2.586122e-02
 1.238500e+01   1.000000e+00   2.499199e-02
 1.337500e+01   1.000000e+00   2.792324e-02
 1.436500e+01   1.000000e+00   5.949227e-02
 1.535500e+01   1.000000e+00   3.436510e-02
 1.634500e+01   1.000000e+00   4.244348e-02
 1.733500e+01   1.000000e+00   6.087851e-02
 1.832500e+01   1.000000e+00   1.254810e-01
 1.931500e+01   1.000000e+00   4.728866e-02
 2.030500e+01   1.000000e+00   5.527459e-02
 2.129500e+01   1.000000e+00   8.188181e-02
 2.228500e+01   1.000000e+00   5.453404e-02
 2.327500e+01   1.000000e+00   5.217453e-02
 2.426500e+01   1.000000e+00   9.817953e-02
 2.525500e+01   1.000000e+00   8.876014e-02
 2.624500e+01   1.000000e+00   9.296949e-02
 2.723500e+01   1.000000e+00   7.927673e-02
 2.822500e+01   1.000000e+00   9.846145e-02
 2.921500e+01   1.000000e+00   1.041429e-01
 3.020500e+01   4.000000e-01   8.008385e-02
 3.119500e+01   0.000000e+00   0.000000e+00
 3.218500e+01   0.000000e+00   0.000000e+00
 3.317500e+01   0.000000e+00   0.000000e+00
 3.416500e+01   0.000000e+00   0.000000e+00
 3.515500e+01   0.000000e+00   0.000000e+00
 3.614500e+01   0.000000e+00   0.000000e+00
 3.713500e+01   0.000000e+00   0.000000e+00
 3.812500e+01   0.000000e+00   0.000000e+00
 3.911500e+01   0.000000e+00   0.000000e+00
 4.010500e+01   0.000000e+00   0.000000e+00
 4.109500e+01   0.000000e+00   0.000000e+00
 4.208500e+01   0.000000e+00   0.000000e+00
 4.307500e+01   0.000000e+00   0.000000e+00
 4.406500e+01   0.000000e+00   0.000000e+00
 4.505500e+01   0.000000e+00   0.000000e+00
 4.604500e+01   0.000000e+00   0.000000e+00
 4.703500e+01   0.000000e+00   0.000000e+00
 4.802500e+01   0.000000e+00   0.000000e+00
 4.901500e+01   0.000000e+00   0.000000e+00
 5.000500e+01   0.000000e+00   0.000000e+00
 5.099500e+01   0.000000e+00   0.000000e+00
 5.198500e+01   0.000000e+00   0.000000e+00
 5.297500e+01   0.000000e+00   0.000000e+00
 5.396500e+01   0.000000e+00   0.000000e+00
 5.495500e+01   0.000000e+00   0.000000e+00
 5.594500e+01   0.000000e+00   0.000000e+00
 5.693500e+01   0.000000e+00   0.000000e+00
 5.792500e+01   0.000000e+00   0.000000e+00
 5.891500e+01   0.000000e+00   0.000000e+00
 5.990500e+01   0.000000e+00   0.000000e+00
 6.089500e+01   0.000000e+00   0.000000e+00
 6.188500e+01   0.000000e+00   0.000000e+00
 6.287500e+01   0.000000e+00   0.000000e+00
 6.386500e+01   0.000000e+00   0.000000e+00
 6.485500e+01   0.000000e+00   0.000000e+00
 6.584500e+01   0.000000e+00   0.000000e+00
 6.683500e+01   0.000000e+00   0.000000e+00
 6.782500e+01   0.000000e+00   0.000000e+00
 6.881500e+01   0.000000e+00   0.000000e+00
 6.980500e+01   0.000000e+00   0.000000e+00
 7.079500e+01   0.000000e+00   0.000000e+00
 7.178500e+01   0.000000e+00   0.000000e+00
 7.277500e+01   0.000000e+00   0.000000e+00
 7.376500e+01   0.000000e+00   0.000000e+00
 7.475500e+01   0.000000e+00   0.000000e+00
 7.574500e+01   0.000000e+00   0.000000e+00
 7.673500e+01   0.000000e+00   0.000000e+00
 7.772500e+01   0.000000e+00   0.000000e+00
 7.871500e+01   0.000000e+00   0.000000e+00
 7.970500e+01   0.000000e+00   0.000000e+00
 8.069500e+01   0.000000e+00   0.000000e+00
 8.168500e+01   0.000000e+00   0.000000e+00
 8.267500e+01   0.000000e+00   0.000000e+00
 8.366500e+01   0.000000e+00   0.000000e+00
 8.465500e+01   0.000000e+00   0.000000e+00
 8.564500e+01   0.000000e+00   0.000000e+00
 8.663500e+01   0.000000e+00   0.000000e+00
 8.762500e+01   0.000000e+00   0.000000e+00
 8.861500e+01   0.000000e+00   0.000000e+00
 8.960500e+01   0.000000e+00   0.000000e+00
 9.059500e+01   0.000000e+00   0.000000e+00
 9.158500e+01   0.000000e+00   0.000000e+00
 9.257500e+01   0.000000e+00   0.000000e+00
 9.356500e+01   0.000000e+00   0.000000e+00
 9.455500e+01   0.000000e+00   0.000000e+00
 9.554500e+01   0.000000e+00   0.000000e+00
 9.653500e+01   0.000000e+00   0.000000e+00
 9.752500e+01   0.000000e+00   0.000000e+00
 9.851500e+01   0.000000e+00   0.000000e+00
 9.950500e+01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
